symbol;name;issue_date;EPS;QuoteLast;Price200DayAverage;Price52WeekPercChange;PriceToBook;MarketCap;PE;DividendRecentQuarter;DividendNextQuarter;DPSRecentYear;IAD;DividendPerShare;DividendYield;Dividend;BookValuePerShareYear;CashPerShareYear;CurrentRatioYear;LTDebtToAssetsYear;LTDebtToAssetsQuarter;TotalDebtToAssetsYear;TotalDebtToAssetsQuarter;LTDebtToEquityYear;LTDebtToEquityQuarter;TotalDebtToEquityYear;TotalDebtToEquityQuarter;AINTCOV;ReturnOnInvestmentTTM;ReturnOnInvestment5Years;ReturnOnInvestmentYear;ReturnOnAssetsTTM;ReturnOnAssets5Years;ReturnOnAssetsYear;ReturnOnEquityTTM;ReturnOnEquity5Years;ReturnOnEquityYear;Beta;Float;InstitutionalPercentHeld;GrossMargin;EBITDMargin;OperatingMargin;NetProfitMarginPercent;NetIncomeGrowthRate5Years;RevenueGrowthRate5Years;RevenueGrowthRate10Years;EPSGrowthRate5Years;EPSGrowthRate10Years;Volume;AverageVolume;LGD
GMF;GPT Metro Office Fund;30/11/2014;0.4;0;2.33;20.57;1.08;0;0;0.08;0.04;0.15;0.11;0.15;4.28;27.73;2.33;0.03;0.54;28.61;28.61;28.61;28.61;42.5;42.5;42.5;42.5;0;12.47;0;12.47;12.05;0;12.05;18.13;0;18.13;0;128.53;0;83.83;71.4;71.4;149.22;0;0;0;0;0;0;11201;0.070241
WPP;WPP Aunz Ltd;31/01/2011;0.08;1.15;1.08;53.95;1.24;984240000;14.3;0.02;0.02;0.06;0.06;0.06;4.87;23.22;0.95;0.06;0.88;18.22;17.89;26.25;17.94;39.74;45.36;57.26;45.48;0;5.09;6.16;7.3;3.32;4.23;4.83;6.68;6.07;12.02;0.85;325.01;0;84.33;13.5;10.89;8.16;0;8.9;28.51;0;0;59930;577967;0.072312
MSP;MAXSEC FPO;31/03/2010;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700000;627885;0.073499
JYC;Joyce Corporation Ltd;30/04/2011;0.06;1.59;1.3;61.67;1.78;43870000;24.62;0.03;0.03;0.06;0.06;0.06;3.77;3.59;0.89;0.58;1.82;0;0;0;0;0;0;0;0;61;11.9;7.47;11.9;8.2;5.87;8.2;7;7.8;7;0.83;7.76;0;45.72;10.43;9.3;6.1;14.85;27.96;37.93;14.62;0.91;3250;3725;0.072897
NAG;Nagambie Resources Ltd;30/06/2013;0;0.08;0.13;48.28;4.1;27990000;0;0;0;0;0;0;0;0;0.02;0;0.27;10.79;10.79;23.51;23.51;14.53;14.53;31.67;31.67;0.21;8.34;11.25;8.34;7.57;10.8;7.57;10.24;15.73;10.24;2.34;221.23;0;0;7.35;111.78;136.73;0;10.19;28.82;0;0;62793;190932;0.071791
MGU;Magnum Mining and Exploration Ltd.;31/08/2014;0;0.03;0.03;3.23;2.81;6890000;0;0;0;0;0;0;0;0;0.01;0;5.55;0;0;0;0;0;0;0;0;0;46.14;37.11;47.49;38.12;32.41;36.12;39.46;35.02;40.64;1.54;111.35;0;3356.76;321183.8;322202.7;322202.7;0;69.97;34.05;0;0;0;17126;0.071149
KLL;Kalium Lakes Ltd;30/04/2010;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50729;130222;0.073912
COJ;Commstrat Limited;31/10/2016;0.03;0;0.06;55.56;1.49;0;0;0;0;0;0;0;0;0;0.04;0.01;0.12;12.13;12.13;51.58;51.58;109.21;109.21;464.46;464.46;0.17;22.33;6.95;22.33;8.88;3.79;8.88;59.34;9.4;59.34;0.48;16.7;0;70.38;3.64;6.19;10.63;0;5.22;7;0;0;0;0;0.069848
AIO;Asciano Ltd;31/03/2010;0.28;0;8.02;8.82;1.97;0;0;0;0.87;0.13;0.13;0.13;1.57;126.4;4.2;0.21;1.19;42.6;42.6;42.61;42.61;91.26;91.26;91.27;91.27;3.38;3.5;4.16;3.5;3.11;3.7;3.11;6.77;8.02;6.77;0.62;481.53;0;93.66;27.27;16.5;7.65;10.01;3.19;0;10;0;0;2510000;0.074401
AQG;Alacer Gold Corp - CDI;28/02/2019;0;2.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211010;391680;0.068283
