ar_revenue,ar_total_expenses,ar_sale_cost,ar_selling_expenses,ar_management_expenses,ar_sale_profit,ar_balance_of_rvns_and_expns,ar_profit_before_tax,ar_taxes,ar_other_profit_and_losses,ar_net_profit,ab_immobilized_assets,ab_mobile_current_assets,ab_inventory,ab_accounts_receivable,ab_other_current_assets,ab_cash_and_securities,ab_losses,ab_own_capital,ab_borrowed_capital,ab_long_term_liabilities,ab_short_term_borrowing,ab_accounts_payable,ab_other_borrowings,bus_age,ogrn_age,adr_actual_age,head_actual_age,cap_actual_age,ul_capital_sum,ul_founders_cnt,ul_branch_cnt,ul_strategic_flg,ul_systematizing_flg,record_id,ul_staff_range,lgd
,,,,,,,,,,,,,,,,,,,,,,,,59,59,24,24,24,50000.0,2,0,0,0,48219,[1-100],0.28055555555555556
,,,,,,,,,,,,,,,,,,,,,,,,40,40,9,9,9,10000.0,1,0,0,0,254920,[1-100],0.5444444444444444
,,,,,,,,,,,,,,,,,,,,,,,,76,76,8,8,8,83333.0,3,0,0,0,232075,[1-100],0.7361111111111112
,,,,,,,,,,,,,,,,,,,,,,,,74,74,27,27,27,10000.0,2,0,0,0,116739,[1-100],0.7430555555555556
34394000.0,33064000.0,30514000.0,2550000.0,0.0,1330000.0,-337000.0,993000.0,213000.0,0.0,780000.0,0.0,12713000.0,9722000.0,2936000.0,55000.0,173000.0,780000.0,852000.0,12034000.0,0.0,10598000.0,1436000.0,0.0,29,29,8,8,8,11000.0,1,0,0,0,182502,[1-100],0.152002431189311
,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,10000.0,1,0,0,0,192479,[1-100],0.9472222222222222
,,,,,,,,,,,,,,,,,,,,,,,,214,140,28,28,28,10000.0,2,0,0,0,99871,[1-100],0.2569444444444444
,,,,,,,,,,,,,,,,,,,,,,,,14,14,4,4,4,10000.0,1,0,0,0,179131,[1-100],0.9055555555555556
,,,,,,,,,,,,,,,,,,,,,,,,113,113,33,33,33,10000.0,1,0,0,0,271800,(100-500],0.6076388888888888
,,,,,,,,,,,,,,,,,,,,,,,,77,77,30,30,30,15000.0,1,0,0,0,236364,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,26,26,10,10,10,20000.0,1,0,0,0,89000,[1-100],0.7388888888888888
2369000.0,2295000.0,2295000.0,0.0,0.0,74000.0,-19000.0,55000.0,11000.0,0.0,44000.0,0.0,3831000.0,2628000.0,1203000.0,0.0,0.0,44000.0,54000.0,3777000.0,0.0,0.0,3777000.0,0.0,25,25,24,24,24,10000.0,1,0,0,0,205121,[1-100],0.7527777777777778
,,,,,,,,,,,,,,,,,,,,,,,,44,44,23,23,23,10000.0,1,0,0,0,18559,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,38,38,28,28,28,10000.0,1,0,0,0,171203,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,120,120,29,29,29,10000.0,1,0,0,0,3089,[1-100],0.5833333333333333
113474000.0,112723000.0,112723000.0,0.0,0.0,751000.0,-31000.0,720000.0,144000.0,0.0,576000.0,0.0,51848000.0,22337000.0,29511000.0,0.0,454000.0,576000.0,12077000.0,40231000.0,0.0,0.0,40231000.0,0.0,57,57,14,14,14,10025000.0,1,0,0,0,269154,[1-100],0.09367103868103377
